iter	Passed	Remaining
0	151	151096
1	152	76137
2	155	51656
3	157	39133
4	158	31612
5	160	26613
6	164	23312
7	166	20627
8	168	18517
9	169	16799
10	171	15389
11	172	14202
12	173	13195
13	175	12331
14	177	11624
15	178	10975
16	179	10399
17	181	9878
18	182	9426
19	184	9021
20	185	8649
21	187	8317
22	188	8006
23	190	7753
24	192	7505
25	194	7283
26	196	7068
27	198	6875
28	199	6688
29	201	6517
30	203	6363
31	205	6219
32	208	6108
33	211	5997
34	212	5862
35	214	5745
36	216	5638
37	218	5529
38	227	5600
39	233	5600
40	235	5498
41	236	5403
42	238	5307
43	240	5214
44	241	5124
45	242	5037
46	244	4954
47	245	4875
48	247	4805
49	249	4733
50	250	4663
51	252	4596
52	253	4531
53	255	4470
54	257	4427
55	259	4368
56	261	4329
57	263	4276
58	264	4223
59	266	4171
60	267	4122
61	269	4077
62	271	4037
63	273	4000
64	277	3988
65	280	3962
66	282	3927
67	282	3877
68	284	3844
69	292	3891
70	294	3858
71	297	3831
72	299	3799
73	304	3807
74	308	3810
75	310	3776
76	312	3740
77	313	3708
78	315	3673
79	316	3643
80	319	3627
81	321	3603
82	323	3574
83	324	3542
84	325	3503
85	326	3469
86	327	3432
87	328	3399
88	328	3367
89	329	3336
90	330	3305
91	331	3275
92	336	3278
93	339	3268
94	340	3239
95	340	3211
96	341	3183
97	342	3155
98	343	3129
99	344	3103
100	345	3077
101	346	3048
102	347	3023
103	353	3045
104	354	3025
105	355	3002
106	356	2979
107	357	2956
108	358	2933
109	359	2911
110	360	2889
111	361	2868
112	362	2847
113	367	2854
114	368	2836
115	369	2815
116	370	2795
117	371	2775
118	372	2754
119	373	2736
120	374	2717
121	375	2699
122	375	2677
123	376	2659
124	377	2641
125	381	2647
126	384	2645
127	385	2626
128	387	2613
129	388	2597
130	389	2582
131	390	2568
132	391	2553
133	392	2537
134	397	2546
135	400	2542
136	401	2528
137	403	2517
138	404	2504
139	405	2491
140	406	2478
141	408	2465
142	413	2479
143	416	2475
144	417	2464
145	419	2451
146	420	2439
147	421	2427
148	422	2415
149	425	2409
150	427	2406
151	429	2395
152	431	2387
153	432	2375
154	433	2364
155	435	2353
156	436	2342
157	437	2330
158	438	2320
159	442	2322
160	443	2311
161	445	2304
162	446	2293
163	448	2283
164	449	2273
165	450	2263
166	451	2252
167	453	2243
168	454	2233
169	457	2235
170	460	2230
171	461	2219
172	462	2209
173	463	2199
174	464	2189
175	465	2179
176	466	2170
177	467	2161
178	469	2152
179	472	2154
180	473	2143
181	475	2138
182	476	2129
183	478	2120
184	479	2111
185	480	2102
186	481	2093
187	482	2084
188	483	2076
189	485	2070
190	488	2069
191	490	2063
192	491	2056
